# Max num of bins : 2
# Bin dimensions (L * W * H): 1200 800 1800

  case_id    quantity    length    width    height
---------  ----------  --------  -------  --------
1          2           225       150      122
2          1           347       228      149
3          2           210       156      100
4          4           333       288      102
5          1           208       151      137
6          1           348       252      163
7          2           273       117      193
8          1           285       164      100
9          1           240       206      123
10         5           337       288      80
