# Max num of bins : 2
# Bin dimensions (L * W * H): 120 80 180

  case_id    quantity    length    width    height
---------  ----------  --------  -------  --------
0          4           60        40       18
1          5           24        80       12
2          6           40        40       16
3          4           60        40       14
4          5           24        80       20
5          6           40        40       15
6          4           60        40       17
7          5           24        80       13
8          6           40        40       11
9          5           24        80       19
10         4           60        40       16
11         5           24        80       18
12         6           40        40       12
13         4           60        40       20
14         5           24        80       14
15         6           40        40       17
16         4           60        40       13
17         5           24        80       15
18         6           40        40       19
19         5           24        80       11
