# Max num of bins : 2
# Bin dimensions (L * W * H): 120 80 180

  case_id    quantity    length    width    height
---------  ----------  --------  -------  --------
0          5           43        31       20
1          5           55        35       16
2          5           32        24       30
3          5           47        40       14
4          5           27        21       26
5          5           44        29       18
6          5           51        26       18
7          5           38        32       22
8          5           35        25       21
9          5           58        23       15
10         5           30        28       26
11         5           50        31       13
12         5           42        27       19
13         5           37        34       17
14         5           29        22       30
15         5           53        29       14
16         5           40        26       22
17         5           46        33       12
18         5           34        20       28
19         5           48        28       18
