# Number of bins used: 2
# Number of cases packed: 20
# Objective value: 283.0

  case_id    bin_location    orientation    x    y    z    x'    y'    z'
---------  --------------  -------------  ---  ---  ---  ----  ----  ----
        0               1              1    0    0    0    60    40    50
        0               1              1   60    0    0    60    40    50
        0               1              1    0   40    0    60    40    50
        0               1              1   60   40    0    60    40    50
        1               1              1    0    0   50    60    80    40
        1               1              1   60    0   50    60    80    40
        2               2              1  120    0    0   120    40    60
        2               2              1  120   40    0   120    40    60
        3               2              1  120    0   60    30    40    30
        3               2              1  150    0   60    30    40    30
        3               2              1  180    0   60    30    40    30
        3               2              1  210    0   60    30    40    30
        3               2              1  120   40   60    30    40    30
        3               2              1  150   40   60    30    40    30
        3               2              1  180   40   60    30    40    30
        3               2              1  210   40   60    30    40    30
        4               2              1  120    0   90    60    40    20
        4               2              1  180    0   90    60    40    20
        4               2              1  120   40   90    60    40    20
        4               2              1  180   40   90    60    40    20
