box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,class_label,fragile,retrieval_priority,support_fraction
0,1,1,1,0,0,0,1250,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
1,2,1,2,0,0,0,150,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
2,3,1,2,0,0,500,0,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
3,4,1,2,0,350,500,0,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
4,5,1,2,0,700,500,0,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
5,6,2,1,0,0,0,850,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,0.8333333333333334
6,7,2,1,0,0,0,1050,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
7,8,2,1,0,350,0,1250,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
8,9,2,1,0,450,0,850,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,0.8333333333333334
9,10,2,1,0,450,0,1050,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,1.0
10,11,3,1,0,350,0,1450,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
11,12,4,2,0,300,250,0,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
12,13,4,2,0,600,250,0,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
13,14,4,2,0,900,250,0,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,1.0
14,15,5,1,0,300,0,1600,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,0.8333333333333334
15,16,5,2,0,0,0,0,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
16,17,5,2,0,0,250,0,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
17,18,5,2,0,300,0,0,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
18,19,5,2,0,600,0,0,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
19,20,5,2,0,900,0,0,300,250,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
20,21,6,1,0,0,0,350,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
21,22,6,1,0,0,0,600,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
22,23,6,1,0,0,250,350,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
23,24,6,1,0,0,500,350,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
24,25,6,1,0,500,0,350,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
25,26,6,1,0,500,0,600,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
26,27,6,1,0,500,250,350,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
27,28,7,1,0,0,0,0,650,400,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
28,29,7,1,0,0,400,0,650,400,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
29,30,7,1,1,650,0,0,400,650,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
