box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,class_label,fragile,retrieval_priority,support_fraction
0,1,1,3,0,0,0,300,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
1,2,1,3,0,0,0,500,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
2,3,1,3,0,0,0,700,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
3,4,1,3,0,0,250,350,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,0.8
4,5,1,3,0,0,250,550,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
5,6,1,3,0,0,250,750,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
6,7,1,3,0,0,300,150,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
7,8,1,3,0,350,0,400,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,0.8571428571428571
8,9,1,3,0,350,0,600,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
9,10,1,3,0,350,0,800,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
10,11,1,3,0,350,250,350,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,0.8571428571428571
11,12,1,3,0,350,250,550,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
12,13,1,3,0,350,250,750,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
13,14,1,3,0,400,250,150,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
14,15,1,3,0,700,0,400,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,0.8571428571428571
15,16,1,3,0,700,0,600,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
16,17,1,3,0,700,0,800,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
17,18,1,3,0,700,250,350,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
18,19,1,3,0,700,250,550,350,250,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
