box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,class_label,fragile,retrieval_priority,support_fraction
0,1,1,1,1,50,0,1100,250,350,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,0.0
1,2,1,1,1,50,0,1300,250,350,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,1.0
2,3,2,2,1,0,0,600,300,450,200,422,255,188,9.43,dry_food,True,False,F,False,4,0.5555555555555556
3,4,3,2,1,0,0,1100,300,400,150,388,260,137,8.2,canned_food,True,False,F,False,3,0.625
4,5,4,2,0,0,100,350,300,250,250,287,203,205,4.81,dry_food,True,False,F,False,4,0.0
5,6,5,2,1,50,50,950,250,300,150,262,227,138,6.43,beverages,True,False,F,False,3,0.0
6,7,5,2,1,50,50,1250,250,300,150,262,227,138,6.43,beverages,True,False,F,False,3,1.0
7,8,6,1,0,200,200,50,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,0.0
8,9,6,1,0,200,200,300,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
9,10,7,1,1,250,0,550,400,650,350,606,387,347,25.0,household_chem,False,True,C,False,5,0.38461538461538464
