box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,class_label,fragile,retrieval_priority,support_fraction
0,1,1,1,1,700,400,350,250,350,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,0.8
1,2,1,1,1,750,400,550,250,350,200,308,216,159,1.64,snacks_bakery,True,False,F,True,2,0.8
2,3,2,1,0,400,100,350,450,300,200,422,255,188,9.43,dry_food,True,False,F,False,4,0.7777777777777778
3,4,3,1,0,450,100,550,400,300,150,388,260,137,8.2,canned_food,True,False,F,False,3,1.0
4,5,4,1,1,400,450,500,250,300,250,287,203,205,4.81,dry_food,True,False,F,False,4,0.8
5,6,5,1,1,400,100,700,250,300,150,262,227,138,6.43,beverages,True,False,F,False,3,0.8
6,7,5,1,1,450,450,350,250,300,150,262,227,138,6.43,beverages,True,False,F,False,3,0.8
7,8,6,1,0,0,500,0,500,250,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
8,9,6,1,1,250,0,0,250,500,250,460,249,217,16.99,household_chem,False,True,C,False,5,1.0
9,10,7,1,1,500,100,0,400,650,350,606,387,347,25.0,household_chem,False,True,C,False,5,1.0
