box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,fragile,retrieval_priority,support_fraction
0,1,1,1,1,0,50,0,250,350,200,308,216,159,1.64,snacks_bakery,True,False,True,2,1.0
1,2,1,1,0,250,0,0,350,250,200,308,216,159,1.64,snacks_bakery,True,False,True,2,1.0
2,3,2,1,0,250,550,0,400,250,200,355,215,158,5.61,dry_food,True,False,False,4,1.0
3,4,3,1,1,600,50,0,300,400,150,388,260,137,8.2,canned_food,True,False,False,3,1.0
4,5,3,1,1,600,100,150,300,400,150,388,260,137,8.2,canned_food,True,False,False,3,0.875
5,6,3,1,1,900,350,0,300,400,150,388,260,137,8.2,canned_food,True,False,False,3,1.0
6,7,4,1,1,0,400,0,250,300,250,287,203,205,4.81,dry_food,True,False,False,4,1.0
7,8,4,1,1,650,500,0,250,300,250,287,203,205,4.81,dry_food,True,False,False,4,1.0
8,9,5,1,0,250,250,0,350,300,200,334,288,175,13.23,beverages,True,False,False,3,1.0
9,10,5,1,1,900,0,0,300,350,200,334,288,175,13.23,beverages,True,False,False,3,1.0
