instance,input_file,status,n_boxes,max_pallets,pallet_count,objective_bound,mip_gap,runtime_seconds,variables,linear_constraints,general_constraints,output_directory,error_type,error
pl001_n010_H900_B2_LB2UB2,tests/instances/pl001_n010_H900_B2_LB2UB2.json,ERROR,,2,,,,0.1021162910037674,,,,output/gurobi_coordinate_batch/pl001_n010_H900_B2_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl002_n010_H900_2_LB2UB3,tests/instances/pl002_n010_H900_2_LB2UB3.json,ERROR,,3,,,,0.1126883779943455,,,,output/gurobi_coordinate_batch/pl002_n010_H900_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl003_n010_H450_2_LB3UB3,tests/instances/pl003_n010_H450_2_LB3UB3.json,ERROR,,3,,,,0.1295928200124763,,,,output/gurobi_coordinate_batch/pl003_n010_H450_2_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl004_n010_H900_B1_LB2UB3,tests/instances/pl004_n010_H900_B1_LB2UB3.json,ERROR,,3,,,,0.12234268401516601,,,,output/gurobi_coordinate_batch/pl004_n010_H900_B1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl005_n012_H1200_2_LB2UB2,tests/instances/pl005_n012_H1200_2_LB2UB2.json,ERROR,,2,,,,0.11344831698806956,,,,output/gurobi_coordinate_batch/pl005_n012_H1200_2_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl006_n012_H900_2_LB2UB3,tests/instances/pl006_n012_H900_2_LB2UB3.json,ERROR,,3,,,,0.1843301210028585,,,,output/gurobi_coordinate_batch/pl006_n012_H900_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl007_n012_H900_B3_LB3UB3,tests/instances/pl007_n012_H900_B3_LB3UB3.json,ERROR,,3,,,,0.17557082397979684,,,,output/gurobi_coordinate_batch/pl007_n012_H900_B3_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl008_n012_H1200_B1_LB2UB2,tests/instances/pl008_n012_H1200_B1_LB2UB2.json,ERROR,,2,,,,0.12367916101356968,,,,output/gurobi_coordinate_batch/pl008_n012_H1200_B1_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl009_n014_H1200_B2_LB2UB2,tests/instances/pl009_n014_H1200_B2_LB2UB2.json,ERROR,,2,,,,0.16430832800688222,,,,output/gurobi_coordinate_batch/pl009_n014_H1200_B2_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl010_n014_H1200_2_LB2UB3,tests/instances/pl010_n014_H1200_2_LB2UB3.json,ERROR,,3,,,,0.24917291299789213,,,,output/gurobi_coordinate_batch/pl010_n014_H1200_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl011_n014_H750_B3_LB3UB3,tests/instances/pl011_n014_H750_B3_LB3UB3.json,ERROR,,3,,,,0.24760869500460103,,,,output/gurobi_coordinate_batch/pl011_n014_H750_B3_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl012_n014_H1200_B1_LB2UB3,tests/instances/pl012_n014_H1200_B1_LB2UB3.json,ERROR,,3,,,,0.23230794700793922,,,,output/gurobi_coordinate_batch/pl012_n014_H1200_B1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl013_n016_H1500_B3_LB2UB2,tests/instances/pl013_n016_H1500_B3_LB2UB2.json,ERROR,,2,,,,0.21411733501008712,,,,output/gurobi_coordinate_batch/pl013_n016_H1500_B3_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl014_n016_H1500_2_LB2UB3,tests/instances/pl014_n016_H1500_2_LB2UB3.json,ERROR,,3,,,,0.3244961310119834,,,,output/gurobi_coordinate_batch/pl014_n016_H1500_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl015_n016_H750_M1_LB3UB3,tests/instances/pl015_n016_H750_M1_LB3UB3.json,ERROR,,3,,,,0.31554198201047257,,,,output/gurobi_coordinate_batch/pl015_n016_H750_M1_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl016_n016_H1500_B1_LB2UB3,tests/instances/pl016_n016_H1500_B1_LB2UB3.json,ERROR,,3,,,,0.3176413490145933,,,,output/gurobi_coordinate_batch/pl016_n016_H1500_B1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl017_n018_H1800_B3_LB2UB2,tests/instances/pl017_n018_H1800_B3_LB2UB2.json,ERROR,,2,,,,0.2797474729886744,,,,output/gurobi_coordinate_batch/pl017_n018_H1800_B3_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl018_n018_H1500_2_LB2UB3,tests/instances/pl018_n018_H1500_2_LB2UB3.json,ERROR,,3,,,,0.7786989860178437,,,,output/gurobi_coordinate_batch/pl018_n018_H1500_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl019_n018_H750_M1_LB3UB3,tests/instances/pl019_n018_H750_M1_LB3UB3.json,ERROR,,3,,,,0.5975240300176665,,,,output/gurobi_coordinate_batch/pl019_n018_H750_M1_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl020_n018_H1500_B1_LB2UB3,tests/instances/pl020_n018_H1500_B1_LB2UB3.json,ERROR,,3,,,,0.39943865800159983,,,,output/gurobi_coordinate_batch/pl020_n018_H1500_B1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl021_n020_H1800_B2_LB2UB2,tests/instances/pl021_n020_H1800_B2_LB2UB2.json,ERROR,,2,,,,0.32581685099285096,,,,output/gurobi_coordinate_batch/pl021_n020_H1800_B2_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl022_n020_H1800_B3_LB2UB3,tests/instances/pl022_n020_H1800_B3_LB2UB3.json,ERROR,,3,,,,0.5013221789849922,,,,output/gurobi_coordinate_batch/pl022_n020_H1800_B3_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl023_n020_H750_M1_LB3UB3,tests/instances/pl023_n020_H750_M1_LB3UB3.json,ERROR,,3,,,,0.5103262680058833,,,,output/gurobi_coordinate_batch/pl023_n020_H750_M1_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl024_n020_H1500_2_LB2UB3,tests/instances/pl024_n020_H1500_2_LB2UB3.json,ERROR,,3,,,,0.49313826599973254,,,,output/gurobi_coordinate_batch/pl024_n020_H1500_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl025_n022_H1800_B2_LB2UB2,tests/instances/pl025_n022_H1800_B2_LB2UB2.json,ERROR,,2,,,,0.4085229309857823,,,,output/gurobi_coordinate_batch/pl025_n022_H1800_B2_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl026_n022_H1800_B1_LB2UB3,tests/instances/pl026_n022_H1800_B1_LB2UB3.json,ERROR,,3,,,,0.631780802999856,,,,output/gurobi_coordinate_batch/pl026_n022_H1800_B1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl027_n022_H750_B3_LB3UB3,tests/instances/pl027_n022_H750_B3_LB3UB3.json,ERROR,,3,,,,0.6251514269970357,,,,output/gurobi_coordinate_batch/pl027_n022_H750_B3_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl028_n022_H1800_B3_LB2UB3,tests/instances/pl028_n022_H1800_B3_LB2UB3.json,ERROR,,3,,,,0.6374097779917065,,,,output/gurobi_coordinate_batch/pl028_n022_H1800_B3_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl029_n025_H1800_B1_LB2UB2,tests/instances/pl029_n025_H1800_B1_LB2UB2.json,ERROR,,2,,,,0.9534492209786549,,,,output/gurobi_coordinate_batch/pl029_n025_H1800_B1_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl030_n025_H1800_B2_LB2UB3,tests/instances/pl030_n025_H1800_B2_LB2UB3.json,ERROR,,3,,,,0.7939173769846093,,,,output/gurobi_coordinate_batch/pl030_n025_H1800_B2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl031_n025_H900_B2_LB3UB3,tests/instances/pl031_n025_H900_B2_LB3UB3.json,ERROR,,3,,,,0.7615560450067278,,,,output/gurobi_coordinate_batch/pl031_n025_H900_B2_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl032_n025_H1800_B3_LB2UB2,tests/instances/pl032_n025_H1800_B3_LB2UB2.json,ERROR,,2,,,,0.527371789998142,,,,output/gurobi_coordinate_batch/pl032_n025_H1800_B3_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl033_n028_H1800_M1_LB2UB2,tests/instances/pl033_n028_H1800_M1_LB2UB2.json,ERROR,,2,,,,0.6468309049960226,,,,output/gurobi_coordinate_batch/pl033_n028_H1800_M1_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl034_n028_H1800_2_LB2UB3,tests/instances/pl034_n028_H1800_2_LB2UB3.json,ERROR,,3,,,,0.9970175980124623,,,,output/gurobi_coordinate_batch/pl034_n028_H1800_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl035_n028_H900_B2_LB3UB3,tests/instances/pl035_n028_H900_B2_LB3UB3.json,ERROR,,3,,,,0.9966035240213387,,,,output/gurobi_coordinate_batch/pl035_n028_H900_B2_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl036_n028_H1800_B1_LB2UB3,tests/instances/pl036_n028_H1800_B1_LB2UB3.json,ERROR,,3,,,,1.009383708005771,,,,output/gurobi_coordinate_batch/pl036_n028_H1800_B1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl037_n030_H1800_B2_LB2UB2,tests/instances/pl037_n030_H1800_B2_LB2UB2.json,ERROR,,2,,,,0.7720204050128814,,,,output/gurobi_coordinate_batch/pl037_n030_H1800_B2_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl038_n030_H1800_2_LB2UB3,tests/instances/pl038_n030_H1800_2_LB2UB3.json,ERROR,,3,,,,1.176964885002235,,,,output/gurobi_coordinate_batch/pl038_n030_H1800_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl039_n030_H900_B2_LB3UB3,tests/instances/pl039_n030_H900_B2_LB3UB3.json,ERROR,,3,,,,1.162659221998183,,,,output/gurobi_coordinate_batch/pl039_n030_H900_B2_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl040_n030_H1800_M1_LB2UB3,tests/instances/pl040_n030_H1800_M1_LB2UB3.json,ERROR,,3,,,,1.1759043670026585,,,,output/gurobi_coordinate_batch/pl040_n030_H1800_M1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl041_n034_H1800_B2_LB2UB2,tests/instances/pl041_n034_H1800_B2_LB2UB2.json,ERROR,,2,,,,0.9979233689955436,,,,output/gurobi_coordinate_batch/pl041_n034_H1800_B2_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl042_n034_H1800_2_LB2UB3,tests/instances/pl042_n034_H1800_2_LB2UB3.json,ERROR,,3,,,,1.5028657660004683,,,,output/gurobi_coordinate_batch/pl042_n034_H1800_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl043_n034_H1200_B1_LB3UB3,tests/instances/pl043_n034_H1200_B1_LB3UB3.json,ERROR,,3,,,,1.5350087510014419,,,,output/gurobi_coordinate_batch/pl043_n034_H1200_B1_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl044_n034_H1800_M1_LB2UB3,tests/instances/pl044_n034_H1800_M1_LB2UB3.json,ERROR,,3,,,,1.471811035007704,,,,output/gurobi_coordinate_batch/pl044_n034_H1800_M1_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl045_n038_H1800_M1_LB2UB2,tests/instances/pl045_n038_H1800_M1_LB2UB2.json,ERROR,,2,,,,1.2330481829994824,,,,output/gurobi_coordinate_batch/pl045_n038_H1800_M1_LB2UB2,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl046_n038_H1800_2_LB2UB3,tests/instances/pl046_n038_H1800_2_LB2UB3.json,ERROR,,3,,,,1.857487964007305,,,,output/gurobi_coordinate_batch/pl046_n038_H1800_2_LB2UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
pl047_n038_H1200_B2_LB3UB3,tests/instances/pl047_n038_H1200_B2_LB3UB3.json,ERROR,,3,,,,1.8769526279938873,,,,output/gurobi_coordinate_batch/pl047_n038_H1200_B2_LB3UB3,GurobiError,Model too large for size-limited license; visit https://gurobi.com/unrestricted for more information
