box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,weight_kg,density_kg_m3,family,is_food,is_chemical,fragile,retrieval_priority,support_fraction
0,1,1,2,0,900,300,0,300,200,200,3.51,851.3838018774104,beverages,True,False,False,3,1.0
1,2,1,1,0,600,600,0,300,200,200,3.06,742.2320324059475,beverages,True,False,False,3,1.0
2,3,2,2,0,400,0,0,400,300,200,9.02,763.4298482450424,beverages,True,False,False,3,1.0
3,4,3,1,0,900,600,0,300,200,100,0.51,155.62540050654542,snacks_bakery,True,False,False,2,1.0
4,5,3,1,0,0,600,0,300,200,100,0.54,164.77983583045986,snacks_bakery,True,False,False,2,1.0
5,6,4,1,0,800,300,0,400,300,200,8.8,900.3478616738286,beverages,True,False,False,3,1.0
6,7,4,2,0,800,500,0,400,300,200,8.83,903.4172293840803,beverages,True,False,False,3,1.0
7,8,4,2,0,400,500,0,400,300,200,9.11,932.0646613464294,beverages,True,False,False,3,1.0
8,9,4,1,0,800,0,0,400,300,200,9.65,987.3132801309598,beverages,True,False,False,3,1.0
9,10,5,2,0,300,300,0,300,200,200,0.95,221.63120567375884,dry_food,True,False,False,4,1.0
10,11,6,1,0,400,300,0,400,300,200,3.7,258.2933095051938,personal_care,False,True,False,6,1.0
11,12,7,2,0,600,300,0,300,200,200,1.03,167.13453518749898,snacks_bakery,True,False,False,2,1.0
12,13,7,2,0,0,300,0,300,200,200,0.66,107.09591575121294,snacks_bakery,True,False,True,2,1.0
13,14,8,1,0,300,600,0,300,200,100,3.31,709.2806479953715,beverages,True,False,False,2,1.0
14,15,9,2,0,0,0,0,300,300,200,6.05,989.6293388294565,beverages,True,False,False,3,1.0
15,16,10,1,0,0,0,0,400,300,100,1.5,192.82932034092224,non_food,False,False,False,7,1.0
16,17,10,1,0,400,0,0,400,300,100,2.63,338.09407499775034,non_food,False,False,False,7,1.0
17,18,10,2,0,800,0,0,400,300,100,2.79,358.6625358341154,non_food,False,False,False,7,1.0
18,19,10,2,0,0,500,0,400,300,100,2.06,264.8189332681999,non_food,False,False,False,7,1.0
19,20,10,1,0,0,300,0,400,300,100,1.5,192.82932034092224,non_food,False,False,False,7,1.0
