# Number of bins used: 2
# Number of cases packed: 100
# Objective value: 398.32

  case_id    bin_location    orientation    x    y    z    x'    y'    z'
---------  --------------  -------------  ---  ---  ---  ----  ----  ----
        0               1              1    0    0    0    60    40    18
        0               1              1   60    0    0    60    40    18
        0               1              1    0   40    0    60    40    18
        0               1              1   60   40    0    60    40    18
        1               1              1    0    0   18    24    80    12
        1               1              1   24    0   18    24    80    12
        1               1              1   48    0   18    24    80    12
        1               1              1   72    0   18    24    80    12
        1               1              1   96    0   18    24    80    12
        2               1              1    0    0   30    40    40    16
        2               1              1   40    0   30    40    40    16
        2               1              1   80    0   30    40    40    16
        2               1              1    0   40   30    40    40    16
        2               1              1   40   40   30    40    40    16
        2               1              1   80   40   30    40    40    16
        3               1              1    0    0   46    60    40    14
        3               1              1   60    0   46    60    40    14
        3               1              1    0   40   46    60    40    14
        3               1              1   60   40   46    60    40    14
        4               1              1    0    0   60    24    80    20
        4               1              1   24    0   60    24    80    20
        4               1              1   48    0   60    24    80    20
        4               1              1   72    0   60    24    80    20
        4               1              1   96    0   60    24    80    20
        5               1              1    0    0   80    40    40    15
        5               1              1   40    0   80    40    40    15
        5               1              1   80    0   80    40    40    15
        5               1              1    0   40   80    40    40    15
        5               1              1   40   40   80    40    40    15
        5               1              1   80   40   80    40    40    15
        6               1              1    0    0   95    60    40    17
        6               1              1   60    0   95    60    40    17
        6               1              1    0   40   95    60    40    17
        6               1              1   60   40   95    60    40    17
        7               1              1    0    0  112    24    80    13
        7               1              1   24    0  112    24    80    13
        7               1              1   48    0  112    24    80    13
        7               1              1   72    0  112    24    80    13
        7               1              1   96    0  112    24    80    13
        8               1              1    0    0  125    40    40    11
        8               1              1   40    0  125    40    40    11
        8               1              1   80    0  125    40    40    11
        8               1              1    0   40  125    40    40    11
        8               1              1   40   40  125    40    40    11
        8               1              1   80   40  125    40    40    11
        9               1              1    0    0  136    24    80    19
        9               1              1   24    0  136    24    80    19
        9               1              1   48    0  136    24    80    19
        9               1              1   72    0  136    24    80    19
        9               1              1   96    0  136    24    80    19
       10               2              1  120    0    0    60    40    16
       10               2              1  180    0    0    60    40    16
       10               2              1  120   40    0    60    40    16
       10               2              1  180   40    0    60    40    16
       11               2              1  120    0   16    24    80    18
       11               2              1  144    0   16    24    80    18
       11               2              1  168    0   16    24    80    18
       11               2              1  192    0   16    24    80    18
       11               2              1  216    0   16    24    80    18
       12               2              1  120    0   34    40    40    12
       12               2              1  160    0   34    40    40    12
       12               2              1  200    0   34    40    40    12
       12               2              1  120   40   34    40    40    12
       12               2              1  160   40   34    40    40    12
       12               2              1  200   40   34    40    40    12
       13               2              1  120    0   46    60    40    20
       13               2              1  180    0   46    60    40    20
       13               2              1  120   40   46    60    40    20
       13               2              1  180   40   46    60    40    20
       14               2              1  120    0   66    24    80    14
       14               2              1  144    0   66    24    80    14
       14               2              1  168    0   66    24    80    14
       14               2              1  192    0   66    24    80    14
       14               2              1  216    0   66    24    80    14
       15               2              1  120    0   80    40    40    17
       15               2              1  160    0   80    40    40    17
       15               2              1  200    0   80    40    40    17
       15               2              1  120   40   80    40    40    17
       15               2              1  160   40   80    40    40    17
       15               2              1  200   40   80    40    40    17
       16               2              1  120    0   97    60    40    13
       16               2              1  180    0   97    60    40    13
       16               2              1  120   40   97    60    40    13
       16               2              1  180   40   97    60    40    13
       17               2              1  120    0  110    24    80    15
       17               2              1  144    0  110    24    80    15
       17               2              1  168    0  110    24    80    15
       17               2              1  192    0  110    24    80    15
       17               2              1  216    0  110    24    80    15
       18               2              1  120    0  125    40    40    19
       18               2              1  160    0  125    40    40    19
       18               2              1  200    0  125    40    40    19
       18               2              1  120   40  125    40    40    19
       18               2              1  160   40  125    40    40    19
       18               2              1  200   40  125    40    40    19
       19               2              1  120    0  144    24    80    11
       19               2              1  144    0  144    24    80    11
       19               2              1  168    0  144    24    80    11
       19               2              1  192    0  144    24    80    11
       19               2              1  216    0  144    24    80    11
