box_index,case_id,pallet,x,y,z,length,width,height,support,weight,product_group,retrieval_priority
0,0,1,63,27,37,31,43,20,1.0000,31,chemical,5
1,0,1,63,27,17,31,43,20,0.8605,31,chemical,5
2,0,2,0,0,22,43,31,20,0.7802,31,chemical,5
3,0,2,0,34,0,43,20,31,1.0000,31,chemical,5
4,0,1,94,37,22,20,43,31,1.0000,31,chemical,5
5,1,1,63,25,135,35,55,16,0.7984,18,food,2
6,1,2,16,0,124,16,55,35,0.9034,18,food,2
7,1,1,98,45,82,16,35,55,0.8750,18,food,2
8,1,2,20,56,109,35,16,55,0.8000,18,food,2
9,1,1,63,25,105,35,55,16,0.7886,18,food,2
10,2,2,45,0,39,30,32,24,1.0000,24,general,4
11,2,2,45,0,63,30,32,24,1.0000,24,general,4
12,2,1,8,0,82,30,24,32,0.8861,24,general,4
13,2,1,94,0,60,24,32,30,0.9167,24,general,4
14,2,2,79,4,68,32,24,30,0.8750,24,general,4
15,3,1,3,0,114,40,14,47,0.7500,14,food,1
16,3,1,104,0,117,14,40,47,1.0000,14,food,1
17,3,2,33,34,100,47,14,40,0.8389,14,food,1
18,3,2,43,4,107,40,14,47,0.8500,14,food,1
19,3,2,43,18,107,40,14,47,0.8500,14,food,1
20,4,1,0,59,0,26,21,27,1.0000,27,chemical,3
21,4,1,0,32,0,26,27,21,1.0000,27,chemical,3
22,4,2,27,54,0,21,26,27,1.0000,27,chemical,3
23,4,1,68,0,0,26,27,21,1.0000,27,chemical,3
24,4,2,0,54,0,27,26,21,1.0000,27,chemical,3
25,5,2,0,0,42,44,29,18,0.9773,22,general,5
26,5,2,90,34,0,29,18,44,1.0000,22,general,5
27,5,1,65,27,75,29,44,18,0.8762,22,general,5
28,5,1,31,32,39,29,44,18,0.8636,22,general,5
29,5,1,94,36,53,18,44,29,0.9773,22,general,5
30,6,1,2,59,75,26,18,51,1.0000,16,food,2
31,6,2,90,33,92,26,18,51,1.0000,16,food,2
32,6,1,29,26,132,26,51,18,1.0000,16,food,2
33,6,2,32,4,154,51,26,18,0.7843,16,food,2
34,6,1,29,26,114,26,51,18,0.9804,16,food,2
35,7,2,50,56,22,38,22,32,1.0000,33,chemical,4
36,7,2,45,0,17,38,32,22,0.9737,33,chemical,4
37,7,1,0,0,0,38,32,22,1.0000,33,chemical,4
38,7,1,94,0,22,22,32,38,1.0000,33,chemical,4
39,7,1,28,32,17,32,38,22,0.9737,33,chemical,4
40,8,1,43,0,50,35,21,25,1.0000,20,general,3
41,8,1,0,32,56,25,21,35,1.0000,20,general,3
42,8,1,0,32,21,25,21,35,1.0000,20,general,3
43,8,1,53,0,75,25,21,35,1.0000,20,general,3
44,8,2,76,4,43,35,21,25,0.8000,20,general,3
45,9,2,32,34,140,58,15,23,0.7563,13,food,1
46,9,2,0,54,79,15,23,58,1.0000,13,food,1
47,9,2,0,54,21,15,23,58,1.0000,13,food,1
48,9,1,29,19,150,23,58,15,0.8793,13,food,1
49,9,1,63,22,151,23,58,15,0.9483,13,food,1
50,10,2,90,52,26,30,28,26,1.0000,29,chemical,5
51,10,1,12,0,22,26,28,30,1.0000,29,chemical,5
52,10,1,38,0,0,30,26,28,1.0000,29,chemical,5
53,10,2,90,52,0,30,28,26,1.0000,29,chemical,5
54,10,2,83,4,17,28,30,26,1.0000,29,chemical,5
55,11,1,29,27,101,31,50,13,1.0000,19,general,4
56,11,2,0,0,97,31,50,13,0.9200,19,general,4
57,11,2,0,0,60,31,50,13,0.9284,19,general,4
58,11,1,29,27,75,31,50,13,0.8671,19,general,4
59,11,1,29,27,88,31,50,13,1.0000,19,general,4
60,12,1,99,0,90,19,42,27,0.7619,15,food,2
61,12,2,59,59,84,27,19,42,1.0000,15,food,2
62,12,1,1,59,126,27,19,42,0.9123,15,food,2
63,12,1,0,34,133,27,19,42,1.0000,15,food,2
64,12,1,0,34,91,27,19,42,0.9259,15,food,2
65,13,2,43,34,0,37,17,34,1.0000,30,chemical,3
66,13,2,46,0,0,37,34,17,1.0000,30,chemical,3
67,13,2,83,0,0,37,34,17,1.0000,30,chemical,3
68,13,1,26,32,0,34,37,17,1.0000,30,chemical,3
69,13,1,60,27,0,34,37,17,1.0000,30,chemical,3
70,14,2,0,32,31,30,22,29,0.9091,21,general,5
71,14,2,90,51,52,30,29,22,0.9655,21,general,5
72,14,2,90,56,74,29,22,30,1.0000,21,general,5
73,14,2,59,56,54,29,22,30,1.0000,21,general,5
74,14,1,9,0,52,29,22,30,0.8966,21,general,5
75,15,1,49,0,110,29,14,53,0.8621,12,food,1
76,15,2,2,0,110,29,53,14,0.9434,12,food,1
77,15,2,2,0,124,14,53,29,1.0000,12,food,1
78,15,1,63,27,121,29,53,14,1.0000,12,food,1
79,15,1,29,24,165,29,53,14,0.7931,12,food,1
80,16,1,94,0,0,26,40,22,1.0000,28,chemical,4
81,16,2,50,52,0,40,26,22,1.0000,28,chemical,4
82,16,1,38,0,28,40,26,22,0.7500,28,chemical,4
83,16,1,94,40,0,26,40,22,1.0000,28,chemical,4
84,16,2,0,0,0,40,26,22,1.0000,28,chemical,4
85,17,2,34,34,34,46,12,33,0.8043,17,general,3
86,17,1,65,25,93,33,46,12,0.8406,17,general,3
87,17,2,0,0,85,33,46,12,1.0000,17,general,3
88,17,2,34,34,67,46,12,33,1.0000,17,general,3
89,17,2,0,0,73,33,46,12,0.9394,17,general,3
90,18,2,83,4,98,28,20,34,1.0000,11,food,2
91,18,2,45,4,87,34,28,20,0.8824,11,food,2
92,18,2,91,56,104,28,20,34,1.0000,11,food,2
93,18,2,20,52,75,28,20,34,0.9000,11,food,2
94,18,2,59,58,126,28,20,34,0.9161,11,food,2
95,19,1,63,22,57,28,48,18,0.8958,23,general,1
96,19,1,0,59,27,28,18,48,0.9286,23,general,1
97,19,1,31,28,57,28,48,18,0.9167,23,general,1
98,19,2,20,54,27,28,18,48,0.7500,23,general,1
99,19,2,90,33,44,28,18,48,0.9444,23,general,1
