box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,class_label,fragile,retrieval_priority,support_fraction
0,1,1,2,1,300,0,300,200,250,150,225,150,122,3.51,beverages,True,False,F,False,3,1.0
1,2,1,2,1,300,0,450,200,250,150,225,150,122,3.06,beverages,True,False,F,False,3,1.0
2,3,2,2,1,300,0,150,250,350,150,347,228,149,9.02,beverages,True,False,F,False,3,1.0
3,4,3,2,0,0,350,350,250,200,150,210,156,100,0.51,snacks_bakery,True,False,F,False,1,1.0
4,5,3,2,0,0,350,200,250,200,150,210,156,100,0.54,snacks_bakery,True,False,F,False,2,0.75
5,6,4,2,1,300,0,0,300,350,150,333,288,102,8.8,beverages,True,False,F,False,3,1.0
6,7,4,2,1,0,0,300,300,350,150,333,288,102,8.83,beverages,True,False,F,False,3,1.0
7,8,4,2,1,0,0,150,300,350,150,333,288,102,9.11,beverages,True,False,F,False,3,1.0
8,9,4,2,1,0,0,0,300,350,150,333,288,102,9.65,beverages,True,False,F,False,3,1.0
9,10,5,2,0,0,500,0,250,200,150,208,151,137,0.95,dry_food,True,False,F,False,4,1.0
10,11,6,1,0,0,0,0,350,300,200,348,252,163,3.7,personal_care,False,True,C,False,6,1.0
11,12,7,2,0,0,350,0,300,150,200,273,117,193,1.03,snacks_bakery,True,False,F,False,2,1.0
