box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,fragile,retrieval_priority,support_fraction
0,1,1,1,1,650,0,250,550,750,250,726,523,226,20.8,personal_care,False,True,False,6,1.0
1,2,1,1,1,650,0,0,550,750,250,726,523,226,21.64,personal_care,False,True,False,6,1.0
2,3,1,1,1,100,0,250,550,750,250,726,523,226,18.91,personal_care,False,True,False,6,1.0
3,4,1,2,0,350,0,0,750,550,250,726,523,226,23.25,personal_care,False,True,False,6,1.0
4,5,1,2,0,350,0,250,750,550,250,726,523,226,21.88,personal_care,False,True,False,6,1.0
5,6,2,2,0,50,550,0,500,250,300,474,209,284,23.96,beverages,True,False,False,3,1.0
6,7,2,2,1,0,50,0,250,500,300,474,209,284,23.09,beverages,True,False,False,3,1.0
7,8,3,1,1,0,0,500,650,750,250,702,617,214,12.55,non_food,False,False,False,7,0.8461538461538461
8,9,3,1,1,0,0,0,650,750,250,702,617,214,13.04,non_food,False,False,False,7,1.0
9,10,4,2,1,750,0,500,450,550,200,514,441,172,25.0,beverages,True,False,False,3,0.7777777777777778
