box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,original_length_mm,original_width_mm,original_height_mm,weight_kg,family,is_food,is_chemical,fragile,retrieval_priority,support_fraction
0,1,1,1,0,550,0,0,650,350,250,627,311,211,6.54,snacks_bakery,True,False,False,2,1.0
1,2,2,3,0,0,400,0,700,400,400,694,396,354,25.0,canned_food,True,False,False,4,1.0
2,3,2,3,0,50,0,0,700,400,400,694,396,354,25.0,canned_food,True,False,False,4,1.0
3,4,3,1,0,0,0,0,350,250,200,333,201,199,10.7,beverages,True,False,False,3,1.0
4,5,4,3,1,750,150,0,450,650,350,602,419,305,19.24,dry_food,True,False,False,4,1.0
5,6,4,1,0,250,350,0,650,450,350,602,419,305,18.07,dry_food,True,False,False,4,1.0
6,7,4,2,1,750,0,0,450,650,350,602,419,305,16.85,dry_food,True,False,False,4,1.0
7,8,4,2,1,0,150,0,450,650,350,602,419,305,21.36,dry_food,True,False,False,4,1.0
8,9,5,1,1,950,0,250,250,400,100,354,213,77,2.71,chilled_food,True,False,False,1,0.875
9,10,5,1,1,0,400,0,250,400,100,354,213,77,2.08,chilled_food,True,False,False,1,1.0
