box_index,box_id,sku,pallet,orientation,x_mm,y_mm,z_mm,length_mm,width_mm,height_mm,weight_kg,density_kg_m3,family,is_food,is_chemical,fragile,retrieval_priority,support_fraction
0,1,1,3,0,800,500,0,400,300,250,10.68,428.00979453125314,dry_food,True,False,False,4,1.0
1,2,2,3,1,800,0,0,400,500,250,19.22,462.17143626627035,chilled_food,True,False,True,1,1.0
2,3,2,1,1,650,0,200,400,500,250,17.29,415.7619215943712,chilled_food,True,False,False,1,0.75
3,4,3,3,0,0,250,0,650,550,300,22.24,227.73351901533925,dry_food,True,False,False,4,1.0
4,5,3,1,1,0,150,0,550,650,300,21.94,224.66157406459277,dry_food,True,False,True,4,1.0
5,6,3,3,1,0,150,300,550,650,300,19.65,201.2123942738946,dry_food,True,False,False,4,0.8461538461538461
6,7,4,1,0,0,300,650,650,450,350,25.0,262.43605745460115,canned_food,True,False,False,3,0.7692307692307693
7,8,4,3,0,0,300,600,650,450,350,25.0,262.43605745460115,canned_food,True,False,False,4,0.8461538461538461
8,9,5,2,1,0,0,0,500,650,350,25.0,257.2352560468292,beverages,True,False,False,3,1.0
9,10,5,1,1,0,150,300,500,650,350,25.0,257.2352560468292,beverages,True,False,True,3,1.0
10,11,5,2,1,0,0,350,500,650,350,25.0,257.2352560468292,beverages,True,False,False,3,1.0
11,12,6,1,1,750,0,0,400,500,200,18.59,600.227305014917,canned_food,True,False,False,4,1.0
12,13,7,3,0,0,350,950,550,450,250,22.27,426.7051921227194,dry_food,True,False,False,4,0.8888888888888888
13,14,8,3,1,750,0,250,450,600,400,25.0,315.86514832395636,chilled_food,True,False,False,1,0.8888888888888888
